Date,Open,High,Low,Close,Volume
2024-10-17,3150.0,3250.0,3150.0,3202.43994140625,1000
2024-10-18,3160.0,3225.0,3160.0,3215.0400390625,300
2024-10-21,3225.0,3248.199951171875,3150.360107421875,3153.1201171875,1000
2024-10-22,3156.0,3222.0,3150.0,3183.030029296875,400
2024-10-23,3205.0,3205.0,3102.0,3105.0,600
2024-10-24,3171.989990234375,3171.989990234375,3106.27001953125,3116.830078125,500
2024-10-25,3117.0,3174.27001953125,3080.0,3105.3701171875,2000
2024-10-28,3120.2900390625,3145.0,3098.610107421875,3128.110107421875,600
2024-10-29,3135.0,3140.10009765625,3050.0,3126.0,1600
2024-10-30,3200.10009765625,3200.10009765625,3082.97998046875,3127.93994140625,1300
2024-10-31,3133.0,3150.0,3016.0,3018.739990234375,900
2024-11-01,3041.25,3079.77001953125,3025.429931640625,3045.89990234375,500
2024-11-04,3019.0400390625,3079.679931640625,3019.030029296875,3073.77001953125,500
2024-11-05,3038.0,3155.0,3038.0,3102.469970703125,500
2024-11-06,3120.5,3122.10009765625,3050.56005859375,3115.0,2000
2024-11-07,3154.800048828125,3180.0,3110.0,3175.610107421875,1100
2024-11-08,3200.0,3200.0,3131.889892578125,3141.60009765625,1600
2024-11-11,3018.39990234375,3195.0,3018.39990234375,3195.0,600
2024-11-12,3200.0,3226.02001953125,3060.0,3226.02001953125,1000
2024-11-13,3175.0,3288.56005859375,3175.0,3269.830078125,1400
2024-11-14,3297.989990234375,3300.0,3198.199951171875,3226.7900390625,1700
2024-11-15,3300.0,3300.0,3131.010009765625,3140.0,600
2024-11-18,3110.0,3200.8798828125,3110.0,3156.300048828125,700
2024-11-19,3107.0,3212.669921875,3107.0,3165.2900390625,2500
2024-11-20,3189.0400390625,3227.25,3149.0,3206.56005859375,700
2024-11-21,3169.0,3334.14990234375,3166.89990234375,3319.2099609375,400
2024-11-22,3400.0,3400.0,3225.6298828125,3287.60009765625,1000
2024-11-25,3322.0,3349.85009765625,3266.550048828125,3300.530029296875,2800
2024-11-26,3330.0,3350.0,3200.0,3331.0,700
2024-11-27,3325.89990234375,3380.719970703125,3306.449951171875,3358.080078125,400
2024-11-29,3379.949951171875,3379.949951171875,3344.659912109375,3353.280029296875,200
2024-12-02,3350.0,3407.27001953125,3350.0,3398.199951171875,1800
2024-12-03,3396.0,3450.0,3310.0,3310.0,2100
2024-12-04,3400.0,3400.0,3310.030029296875,3369.89990234375,700
2024-12-05,3300.0,3380.0,3300.0,3355.77001953125,800
2024-12-06,3322.0,3371.0,3270.5,3319.77001953125,1100
2024-12-09,3355.0,3355.0,3270.0,3308.219970703125,2600
2024-12-10,3250.0,3348.52001953125,3234.75,3253.72998046875,1300
2024-12-11,3372.0,3372.0,3287.760009765625,3319.080078125,700
2024-12-12,3367.0,3367.0,3240.010009765625,3262.56005859375,900
2024-12-13,3367.0,3367.0,3250.0,3276.8798828125,800
2024-12-16,3175.0,3298.56005859375,3175.0,3249.929931640625,600
2024-12-17,3240.0,3272.639892578125,3229.449951171875,3254.570068359375,500
2024-12-18,3250.0,3292.300048828125,3061.7099609375,3110.0,900
2024-12-19,3162.75,3210.0,3075.0,3075.10009765625,3000
